Id┇Type=Int;Name=Id;Collection=None;Key=A;Out=2;IDType=101;Split=;Doc=HSR装备基础信息		Name┇Type=String;Name=Name;Collection=None;Key=B;Out=0	Type┇Type=EquipmentPartType;Name=Type;Collection=None;Key=C;Out=2	Quality┇Type=QualityType;Name=Quality;Collection=None;Key=D;Out=2	Group┇Type=Int;Name=Group;Collection=None;Key=E;Out=2	Super┇Type=Bool;Name=Super;Collection=None;Key=F;Out=2	Icon┇Type=String;Name=Icon;Collection=None;Key=G;Out=0	Desc┇Type=String;Name=Desc;Collection=None;Key=H;Out=0	Suits┇Type=HSRSuit;Name=Suits;Collection=List;Key=I;Out=0	SellPrice┇Type=Int;Name=SellPrice;Collection=None;Key=J;Out=2	UseMods┇Type=PlayerMod;Name=UseMods;Collection=List;Key=K;Out=0	SourceJumps┇Type=CurrencyJump;Name=SourceJumps;Collection=List;Key=L;Out=0
编号	备注	名字	类型（0头1项链2胸甲3护腕4手套5腰带6裤子7鞋子8戒指）┇枚举(EquipmentPartType)	品质（1白2绿3蓝4紫5黄6橙7红8彩）┇枚举(QualityType)	装备组（升品找寻）	S级装备（0不是1是）	图标	说明	套装┇枚举(HSRSuit)	出售价格	替换模型┇数据表(PlayerMod)	来源跳转┇数据表(CurrencyJump)
1011001	黑铁头盔（白色）	EquipName_1011001	0	1	1	0	ui://2opvcgqbdweg2zn			0	10101	
1011002	生铁板甲（白色）	EquipName_1011003	2	1	2	0	ui://2opvcgqbdweg2zp			0	10103	
1011003	铁片手套（白色）	EquipName_1011005	4	1	3	0	ui://2opvcgqbdweg2zo			0	10102	
1011004	铁环腰带（白色）	EquipName_1011006	5	1	4	0	ui://2opvcgqbdweg2xy			0		
1011005	粗铁护腿（白色）	EquipName_1011007	6	1	5	0	ui://2opvcgqbdweg2zl			0	10104	
1011006	铁包头靴（白色）	EquipName_1011008	7	1	6	0	ui://2opvcgqbdweg2zj			0	10105	
1011007	生铁护腕（白色）	EquipName_1011004	3	1	7	0	ui://2opvcgqbdweg2zq			0		
1011008	锈铁挂坠（白色）	EquipName_1011002	1	1	8	0	ui://2opvcgqbdweg2zm			0		
1011009	黑铁圈环（白色）	EquipName_1011009	8	1	9	0	ui://2opvcgqbdweg2zk			0		
1012001	青铜兽面盔（绿色）	EquipName_1012001	0	2	1	0	ui://2opvcgqbdweg2ze			0	10201	
1012002	青铜鳞甲（绿色）	EquipName_1012003	2	2	2	0	ui://2opvcgqbdweg2zg			0	10203	
1012003	螺纹臂铠（绿色）	EquipName_1012005	4	2	3	0	ui://2opvcgqbdweg2zf			0	10202	
1012004	铜钉皮带（绿色）	EquipName_1012006	5	2	4	0	ui://2opvcgqbdweg2zi			0		
1012005	青铜护胫（绿色）	EquipName_1012007	6	2	5	0	ui://2opvcgqbdweg2zc			0	10204	
1012006	铜扣战靴（绿色）	EquipName_1012008	7	2	6	0	ui://2opvcgqbdweg2za			0	10205	
1012007	铜片裹腕（绿色）	EquipName_1012004	3	2	7	0	ui://2opvcgqbdweg2zh			0		
1012008	青铜兽面坠（绿色）	EquipName_1012002	1	2	8	0	ui://2opvcgqbdweg2zd			0		
1012009	古铜螺纹戒（绿色）	EquipName_1012009	8	2	9	0	ui://2opvcgqbdweg2zb			0		
1013001	新月银盔（蓝色）	EquipName_1013001	0	3	1	0	ui://2opvcgqbdweg30e			0	10301	
1013002	镶银皮甲（蓝色）	EquipName_1013003	2	3	2	0	ui://2opvcgqbdweg2zr			0	10303	
1013003	银丝手套（蓝色）	EquipName_1013005	4	3	3	0	ui://2opvcgqbdweg2zt			0	10302	
1013004	银扣皮带（蓝色）	EquipName_1013006	5	3	4	0	ui://2opvcgqbdweg2z9			0		
1013005	银边护腿（蓝色）	EquipName_1013007	6	3	5	0	ui://2opvcgqbdweg30d			0	10304	
1013006	银钉战靴（蓝色）	EquipName_1013008	7	3	6	0	ui://2opvcgqbdweg30b			0	10305	
1013007	镶银皮腕（蓝色）	EquipName_1013004	3	3	7	0	ui://2opvcgqbdweg2z8			0		
1013008	新月银坠（蓝色）	EquipName_1013002	1	3	8	0	ui://2opvcgqbdweg2zu			0		
